,link,Title/Address,img_links,price,description,bedrooms,bathrooms,habital_area,EPC certificate number,property_type,score
0,"https://www.realo.be/en/dumortierlaan-109-8300-knokke/3342899?l=1875368350
","Dumortierlaan 109 4, 8300 Knokke, Knokke-Zoute",https://realocdn.com/image/5/BE-master_listing_85acc3_85acc3be84715ecbbb01e6a0ae9f9460.jpg/1333x1000/0x400/2/490a,€795.000,"

					Perfect instapklaar appartement in een recente residentie, gelegen tussen de Dumortierkerk en het Driehoeksplein in Knokke. De ligging en indeling van dit appartement laten u toe om zowel permanent te verblijven als om optimaal te genieten van uw weekends en vakanties als tweedeverblijver.  
Samenstelling : Mooie, lichtrijke woonkamer bestaande uit het salon en de eetplaats met aansluitend terras. Open, volledig ingerichte open keuken. Berging. Masterbedroom met dressing en aansluitende douchekamer. 2de en 3de slaapkamer. Doucheruimte. Apart toilet. Nachthal. Kelder en fietsenberging in het gebouw.

		
",3,2,101m2,20201002-0002322777-res-1,Flat,76%
1,"https://www.realo.be/en/8300-knokke/5202370?l=117946904
","Bronlaan - Het Zoute, 8300 Knokke, Knokke-Zoute",https://realocdn.com/image/5/BE-master_listing_35263b_35263bd74a07dc0aed92d0396095e5e9.jpg/1333x1000/0x400/2/f6ac,-,"

					Uitstekend gelegen appartement in een mooie residentie op de Wandeldijk in Knokke-Het Zoute. Het appartement geniet van een hoogst uitzonderlijk zeezicht door de gekantelde ligging op de dijk. Hierdoor heeft u ook op de verschillende terrassen met zeezicht veel zon, en kunt u dus optimaal genieten van het beste van 2 werelden - zon en zeezicht.  
Samenstelling : Inkomhal met gastentoilet. Zeer aangename woonkamer met fantastisch zeezicht en aansluitend een ruim en zonnig terras (met plaats voor een tafel met 8 stoelen). De woonkamer heeft een salon met haard, een eetplaats en een bureauhoek. Luxueuze keuken voorzien van een marmeren werkblad en uitgerust met toestellen van Küppersbusch, Bosch en Kitchenaid. Masterbedroom met aansluitende badkamer en terras. 2de slaapkamer (zeezicht!) met douchekamer en terras. Op het verdiep: 2 slaapkamers met zeezicht, waarvan 1 met lavabo. Ruim terras (zeezicht!). Douchekamer. Grote kelder en garagebox (11.5m op 2.7m). Gemeenschappelijke ruimte voor het plaatsen van wasmachine en droogkast. Fietsenberging. Inwonende conciërge in de residentie.  
Een zeer ruim appartement, met de uitzonderlijke combinatie van zon en zeezicht gecombineerd met verschillende terrassen, op een fantastische ligging op de Wandeldijk in Het Zoute...

		
",4,3,165m2,20200915-0002315340-RES-1,Flat,53%
2,"https://www.realo.be/en/kustlaan-158-8300-knokke/3356561?l=1623997479
","Kustlaan 158, 8300 Knokke, Knokke-Zoute",https://realocdn.com/image/5/BE-master_listing_73aa83_73aa83498a2a5b78c6c7ba8241fa20d3.jpg/1333x1000/0x400/2/0ce9,€1.995.000,"

					Prachtig appartement gelegen in een kleinschalige villaresidentie met een heel mooi zicht op de minigolf/approachgolf in Knokke-Het Zoute. Dit appartement is uitermate centraal gelegen op een spatje van de stranden en midden de mooie boetieks van Het Zoute. De combinatie van de ligging samen met de uitzonderlijke afwerking maken van dit appartement een absolute topper op de markt.  
Samenstelling: Inkomhal met gastentoilet en vestiairekast. Mooi salon met dubbele plafondhoogte en toegang tot het terras (vol Zuid en prachtig uitzicht op de minigolf en de approachgolf). Eetplaats. Ingerichte keuken voorzien van alle toestellen Miele en afgewerkt in fineer. TV-ruimte met een zeer luxueuze afwerking. Slaapkamer 1. Douchekamer. Op het verdiep: open bureau met zicht op het salon en over de minigolf. Zeer ruime slaapkamer 2 met aansluitende dressing en luxebadkamer (ligbad - douche - toilet - dubbele lavabo. Dubbele garagebox inbegrepen in de prijs! Mogelijkheid tot aankoop van een bijkomende parkeerplaats in de residentie (€40.000).

		
",2,2,161m2,20200807-00002301423-res-1,Flat,69%
3,"https://www.realo.be/en/van-bunnenlaan-1-8300-knokke/3373078?l=1606589779
",Parking for sale in Knokke-Heist,https://realocdn.com/image/5/BE-master_listing_d5a51d_d5a51d6f66c077bb27bfe04eab08eb90.jpg/475x356/0x400/2/a795,€95.000,"

					Ruime garagebox op wandelafstand van zon, zee en strand. De garage bevindt zich in een goed onderhouden garagecomplex onder het vanbunnenplein waar u via een automatische poort gemakkelijk naar beneden kan rijden. 1)	Stedenbouwkundige bestemming

Wg: Woongebied


2)	Beschermd erfgoed:neen
3)	Geïnventariseerd erfgoed: 
Niet van toepassing

4)	Afgebakende oeverzone: niet van toepassing
5)	Gevalideerd as-builtattest: neen

		
",-,-,-,-,Garage,72%
4,"https://www.realo.be/en/duinbergenlaan-8301-duinbergen/3341352?l=1433641171
",Flat - Apartment for sale in Duinbergen,https://realocdn.com/image/5/BE-master_listing_6bac08_6bac0887168a7a36952ea0621e3a3028.jpg/475x356/0x400/2/ff20,€699.000,"

					Indeling: Inkomhal met gastentoilet, ruime woonkamer voorzien van praktische kastenwand (voorzien van LED-verlichting, ingebouwde ladenblok met muziekinstallatie en ophangkast) en uitgevend op het terras vooraan met prachtig open zicht op zee en over het Stübbenpark. 
Halfopen en volledig ingerichte keuken (vernieuwd in 2015, werkblad en wanden in graniet). 
Eerste slaapkamer voorzien van kasten (Nolte) en met ruimte voor een 2-persoonsbed. 
Tweede ruime slaapkamer met aansluitend een douchekamer met extra lavabo. 
Derde slaapkamer met ruimte voor een stapelbed en momenteel ingericht als bureel.
De drie slaapkamers geven toegang tot het terras achteraan. 
Badkamer met inloopdouche, dubbele lavabo en toilet. 

Inclusief privatieve kelderberging en gemeenschappelijke fietsenberging in het gebouw (2 fietshaken). 

",3,2,95m2,2297516,Flat,72%
5,"https://www.realo.be/en/duinbergenlaan-111-8301-duinbergen/3341765?l=2115408170
","Duinbergenlaan 111 23, 8301 Duinbergen",https://realocdn.com/image/5/BE-master_listing_320c86_320c8652e02d25f579905420721523e9.jpg/1366x1024/0x400/2/a367,€699.000,"

					Indeling: Inkomhal met gastentoilet, ruime woonkamer voorzien van praktische kastenwand (voorzien van LED-verlichting, ingebouwde ladenblok met muziekinstallatie en ophangkast) en uitgevend op het terras vooraan met prachtig open zicht op zee en over het Stübbenpark. 
Halfopen en volledig ingerichte keuken (vernieuwd in 2015, werkblad en wanden in graniet). 
Eerste slaapkamer voorzien van kasten (Nolte) en met ruimte voor een 2-persoonsbed. 
Tweede ruime slaapkamer met aansluitend een douchekamer met extra lavabo. 
Derde slaapkamer met ruimte voor een stapelbed en momenteel ingericht als bureel.
De drie slaapkamers geven toegang tot het terras achteraan. 
Badkamer met inloopdouche, dubbele lavabo en toilet. 

Inclusief privatieve kelderberging en gemeenschappelijke fietsenberging in het gebouw (2 fietshaken).

		
",3,2,95m2,2297516,Flat,69%
6,"https://www.realo.be/en/8301-heist/5202374?l=896421341
",Residence for sale in Heist,https://realocdn.com/image/5/BE-master_listing_ff8925_ff8925c471ded3066e336d347a5f3dfa.jpg/475x356/0x400/2/e349,€223.000,"

					Op te frissen woning met 3 slaapkamers en een stadstuin op een zeer rustige locatie in het centrum van Heist. Gelegen vlakbij het marktplein, het station en op korte afstand van het strand. Een opportuniteit voor de jonge starters. 

Inkom met toilet, een aangename woonkamer met eet-en zithoek, een grote keuken met eetplaats en een bergruimte/wasplaats. Op de verdieping zijn er 3 slaapkamers en een badkamer. Grote zolder aanwezig. Aan de zuidkant een aangenaam tuintje/terras. Interessant aanbod op een goede ligging. 

Bezoeken: Graag na afspraak met Willem Cauwels op GSM (click here)

",3,1,100m2,0002302588,House,74%
7,"https://www.realo.be/en/majoor-quaillestraat-4-8301-duinbergen/5966523?cl=628427151%2C1386755778
","Majoor Quaillestraat 4-2 Majoor Quaillestraat 2-4, Zeedijk-Duinbergen 418, 8301 Duinbergen, Knokke-Heist",https://realocdn.com/image/5/BE-master_listing_bfedb4_bfedb48cfe81d5eaf79a308a3f75b570.jpg/475x356/0x400/2/190e,-,-,-,-,-,-,Flat,59%
8,"https://www.realo.be/en/jozef-nellenslaan-39-8301-duinbergen/3350608?l=1810367889
",Parking for sale in Duinbergen,https://realocdn.com/image/5/BE-master_listing_94d7e5_94d7e5b2077171ee9c1c282ffd24cb62.jpg/475x356/0x400/2/1192,€45.000,"

					Res. Duinhove. Een felbegeerde parkeerplaats nabij het Albertstrand gezocht? Wij bieden u deze vlot toegankelijke staanplaats aan in een afgesloten complex in Duinbergen! Inrit via de Jozef Nellenslaan. Contacteer ons voor meer info en een bezoek! Ref. G040

		
",-,-,-,-,Garage,67%
9,"https://www.realo.be/en/kardinaal-mercierstraat-20-8301-heist/3351690?l=1157965876
",Undetermined property for sale in Heist,https://realocdn.com/image/5/BE-master_listing_ca4318_ca4318966b2ad1bcfaa8c18afeaf61cb.jpg/475x356/0x400/2/0d4e,€560.000,"

					Uniek aanbod: B&B Jolie, een recent gerenoveerd herenhuis te Heist op een zandkorrel van het strand en vlakbij de toekomstige, magnifieke wandelboulevard en het Heldenplein te Heist. De B&B is op heden voorzien van drie zeer ruime kamers, elk met hun eigen stijl. Voor de rest bevinden er zich nog een vierde kamer die ook kan ingericht worden om te verhuren, een keuken en een appartementje op de zolderverdieping. De zeer goede, bewezen inkomsten maken van dit eigendom een prima investering. Bezoek op afspraak en extra informatie via Randy Huyghebaert op het nummer (click here)

",5,5,-,2304660,Property,81%
